lineage	sample	genotype	pseudotime_bin	panel	program_log1pCP10K	n_cells	control_reference	delta_vs_control
Beta	Control 2	control	3	β lineage TFs	0.8395468304658191	27	0.7641663897454091	0.07538044072041006
Beta	Control 2	control	3	β terminal output	1.5030817506116225	27	2.0327079246520374	-0.5296261740404149
Beta	Control 2	control	4	β lineage TFs	1.1299462070444366	32	1.1074408953503578	0.022505311694078767
Beta	Control 2	control	4	β terminal output	3.593737451095187	32	3.7538637201755116	-0.16012626908032468
Beta	Control 2	control	5	β lineage TFs	1.461433523086895	50	1.3944697467463698	0.06696377634052508
Beta	Control 2	control	5	β terminal output	5.54280116543	50	5.727459039180633	-0.18465787375063236
Beta	Control 3	control	1	β lineage TFs	0.7182810061370423	78	0.6647181447699569	0.053562861367085324
Beta	Control 3	control	1	β terminal output	0.36284734104158395	78	0.3522589932974627	0.010588347744121263
Beta	Control 3	control	2	β lineage TFs	0.7793817874294838	57	0.6979184577596292	0.08146332966985459
Beta	Control 3	control	2	β terminal output	0.6174617803321096	57	0.6795409981933789	-0.06207921786126924
Beta	Control 3	control	3	β lineage TFs	0.8441927364418623	42	0.7641663897454091	0.08002634669645325
Beta	Control 3	control	3	β terminal output	1.6875111765508326	42	2.0327079246520374	-0.3451967481012048
Beta	Control 3	control	4	β lineage TFs	1.2189817213418366	36	1.1074408953503578	0.11154082599147874
Beta	Control 3	control	4	β terminal output	3.4274035636410267	36	3.7538637201755116	-0.3264601565344849
Beta	Control 3	control	5	β lineage TFs	1.4893382468271597	40	1.3944697467463698	0.09486850008078984
Beta	Control 3	control	5	β terminal output	5.561964122370509	40	5.727459039180633	-0.16549491681012363
Beta	dEndo 1	dEndo	1	β lineage TFs	1.0485535482845603	1	0.6647181447699569	0.3838354035146033
Beta	dEndo 1	dEndo	1	β terminal output	0.0	1	0.3522589932974627	-0.3522589932974627
Beta	dEndo 1	dEndo	2	β lineage TFs	0.8443498454088919	9	0.6979184577596292	0.14643138764926267
Beta	dEndo 1	dEndo	2	β terminal output	0.11992889954606578	9	0.6795409981933789	-0.5596120986473131
Beta	dEndo 1	dEndo	3	β lineage TFs	0.3940556667179907	11	0.7641663897454091	-0.3701107230274184
Beta	dEndo 1	dEndo	3	β terminal output	0.8945886235977122	11	2.0327079246520374	-1.1381193010543251
Beta	dEndo 1	dEndo	4	β lineage TFs	0.9017321496389071	4	1.1074408953503578	-0.2057087457114507
Beta	dEndo 1	dEndo	4	β terminal output	4.166331360268725	4	3.7538637201755116	0.412467640093213
Beta	dEndo 1	dEndo	5	β lineage TFs	1.1727662989127496	6	1.3944697467463698	-0.22170344783362017
Beta	dEndo 1	dEndo	5	β terminal output	4.653164415913999	6	5.727459039180633	-1.074294623266634
Beta	dEndo 2	dEndo	1	β lineage TFs	0.6625613420675703	50	0.6647181447699569	-0.0021568027023866065
Beta	dEndo 2	dEndo	1	β terminal output	0.2456253335408557	50	0.3522589932974627	-0.10663365975660699
Beta	dEndo 2	dEndo	2	β lineage TFs	0.6480171938881539	45	0.6979184577596292	-0.04990126387147531
Beta	dEndo 2	dEndo	2	β terminal output	0.6589318188844582	45	0.6795409981933789	-0.0206091793089207
Beta	dEndo 2	dEndo	3	β lineage TFs	0.7822725645614558	37	0.7641663897454091	0.018106174816046705
Beta	dEndo 2	dEndo	3	β terminal output	1.3183065011256998	37	2.0327079246520374	-0.7144014235263376
Beta	dEndo 2	dEndo	4	β lineage TFs	1.0582647877198024	35	1.1074408953503578	-0.049176107630555466
Beta	dEndo 2	dEndo	4	β terminal output	2.9505784062475064	35	3.7538637201755116	-0.8032853139280052
Beta	dEndo 2	dEndo	5	β lineage TFs	1.3439604439384008	34	1.3944697467463698	-0.05050930280796906
Beta	dEndo 2	dEndo	5	β terminal output	5.603644881265644	34	5.727459039180633	-0.12381415791498895
Beta	dEndo 3	dEndo	1	β lineage TFs	0.6769143405074404	222	0.6647181447699569	0.012196195737483428
Beta	dEndo 3	dEndo	1	β terminal output	0.07836945440274824	222	0.3522589932974627	-0.27388953889471446
Beta	dEndo 3	dEndo	2	β lineage TFs	0.6994183995962456	151	0.6979184577596292	0.001499941836616392
Beta	dEndo 3	dEndo	2	β terminal output	0.25905800366261694	151	0.6795409981933789	-0.42048299453076193
Beta	dEndo 3	dEndo	3	β lineage TFs	0.6332555255782322	113	0.7641663897454091	-0.1309108641671769
Beta	dEndo 3	dEndo	3	β terminal output	0.9577697016954078	113	2.0327079246520374	-1.0749382229566296
Beta	dEndo 3	dEndo	4	β lineage TFs	0.9179176772854097	87	1.1074408953503578	-0.1895232180649481
Beta	dEndo 3	dEndo	4	β terminal output	3.2793893799984524	87	3.7538637201755116	-0.47447434017705925
Beta	dEndo 3	dEndo	5	β lineage TFs	1.2862004187483278	90	1.3944697467463698	-0.10826932799804201
Beta	dEndo 3	dEndo	5	β terminal output	5.413829493987017	90	5.727459039180633	-0.3136295451936153
